id,content
2311,"['binary', 'string', 'positive', 'integer', 'return', 'length', 'longest', 'subsequence', 'makes', 'binary', 'number', 'less', 'equal', 'subsequence', 'contain', 'leading', 'empty', 'string', 'considered', 'equal', 'subsequence', 'string', 'derived', 'another', 'string', 'deleting', 'characters', 'without', 'changing', 'order', 'remaining', 'longest', 'subsequence', 'makes', 'binary', 'number', 'less', 'equal', 'number', 'equal', 'note', 'also', 'equal', 'length', 'subsequence', 'longest', 'subsequence', 'makes', 'binary', 'number', 'less', 'equal', 'number', 'equal', 'length', 'subsequence', 'either']"
2302,"['score', 'array', 'defined', 'product', 'sum', 'score', 'positive', 'integer', 'array', 'nums', 'integer', 'return', 'number', 'subarrays', 'nums', 'whose', 'score', 'strictly', 'less', 'subarray', 'contiguous', 'sequence', 'elements', 'within', 'nums', 'subarrays', 'scores', 'less', 'score', 'score', 'score', 'score', 'score', 'score', 'note', 'subarrays', 'considered', 'scores', 'need', 'scores', 'strictly', 'less', 'nums', 'every', 'subarray', 'except', 'score', 'less', 'score', 'greater', 'subarrays', 'scores', 'less', 'array', 'binary search', 'sliding window', 'prefix sum']"
2301,"['two', 'strings', 'also', 'character', 'array', 'mappings', 'indicates', 'may', 'replace', 'number', 'oldi', 'characters', 'sub', 'character', 'sub', 'cannot', 'replaced', 'return', 'true', 'possible', 'make', 'sub', 'substring', 'replacing', 'zero', 'characters', 'according', 'return', 'substring', 'contiguous', 'sequence', 'characters', 'within', 'sub', 'mappings', 'true', 'replace', 'first', 'sub', 'sub', 'sub', 'substring', 'return', 'sub', 'mappings', 'false', 'string', 'substring', 'replacements', 'note', 'cannot', 'replace', 'sub', 'mappings', 'true', 'replace', 'first', 'second', 'sub', 'sub', 'sub', 'substring', 'return', 'oldi', 'newi', 'sub', 'consist', 'uppercase', 'lowercase', 'english', 'letters', 'oldi', 'newi', 'either', 'uppercase', 'lowercase', 'english', 'letters', 'array', 'hash table', 'string', 'string matching']"
2300,"['two', 'positive', 'integer', 'arrays', 'spells', 'length', 'represents', 'strength', 'ith', 'spell', 'represents', 'strength', 'jth', 'also', 'integer', 'spell', 'potion', 'pair', 'considered', 'successful', 'product', 'strengths', 'least', 'return', 'integer', 'array', 'pairs', 'length', 'number', 'potions', 'form', 'successful', 'pair', 'ith', 'spells', 'potions', 'success', 'pairs', 'pairs', 'pairs', 'spells', 'potions', 'success', 'pairs', 'pairs', 'pairs', 'success', 'array', 'two pointers', 'binary search', 'sorting']"
2299,"['password', 'said', 'strong', 'satisfies', 'following', 'least', 'contains', 'least', 'one', 'lowercase', 'contains', 'least', 'one', 'uppercase', 'contains', 'least', 'one', 'contains', 'least', 'one', 'special', 'special', 'characters', 'characters', 'following', 'contain', 'character', 'adjacent', 'positions', 'violates', 'string', 'return', 'true', 'strong', 'return', 'password', 'true', 'password', 'meets', 'return', 'password', 'false', 'password', 'contain', 'digit', 'also', 'contains', 'character', 'adjacent', 'return', 'password', 'false', 'password', 'meet', 'length', 'return', 'password', 'consists', 'special', 'string']"
2306,"['array', 'strings', 'ideas', 'represents', 'list', 'names', 'used', 'process', 'naming', 'process', 'naming', 'company', 'choose', 'distinct', 'names', 'call', 'ideaa', 'swap', 'first', 'letters', 'ideaa', 'ideab', 'new', 'names', 'found', 'original', 'name', 'ideaa', 'ideab', 'concatenation', 'ideaa', 'separated', 'valid', 'company', 'valid', 'return', 'number', 'distinct', 'valid', 'names', 'ideas', 'following', 'selections', 'company', 'name', 'created', 'company', 'name', 'created', 'company', 'name', 'created', 'company', 'name', 'created', 'company', 'name', 'created', 'company', 'name', 'created', 'total', 'distinct', 'company', 'following', 'examples', 'invalid', 'name', 'formed', 'swapping', 'already', 'exists', 'original', 'names', 'still', 'swapping', 'exist', 'original', 'names', 'formed', 'swapping', 'already', 'exist', 'original', 'ideas', 'valid', 'consists', 'lowercase', 'english', 'strings', 'ideas', 'array', 'hash table', 'string', 'bit manipulation', 'enumeration']"
2296,"['design', 'text', 'editor', 'cursor', 'add', 'text', 'cursor', 'delete', 'text', 'cursor', 'backspace', 'move', 'cursor', 'either', 'left', 'deleting', 'characters', 'left', 'cursor', 'cursor', 'also', 'remain', 'within', 'actual', 'text', 'cannot', 'moved', 'beyond', 'always', 'implement', 'texteditor', 'initializes', 'object', 'empty', 'void', 'appends', 'text', 'cursor', 'cursor', 'ends', 'right', 'int', 'deletes', 'characters', 'left', 'returns', 'number', 'characters', 'actually', 'string', 'moves', 'cursor', 'left', 'returns', 'last', 'characters', 'left', 'len', 'number', 'characters', 'left', 'string', 'moves', 'cursor', 'right', 'returns', 'last', 'characters', 'left', 'len', 'number', 'characters', 'left', 'input', 'output', 'explanation', 'texteditor', 'texteditor', 'new', 'current', 'text', 'character', 'represents', 'current', 'text', 'return', 'current', 'text', 'characters', 'current', 'text', 'return', 'current', 'text', 'cursor', 'cannot', 'moved', 'beyond', 'actual', 'text', 'thus', 'last', 'characters', 'left', 'return', 'current', 'text', 'last', 'characters', 'left', 'return', 'current', 'text', 'characters', 'return', 'current', 'text', 'cursor', 'cannot', 'moved', 'beyond', 'actual', 'text', 'thus', 'last', 'characters', 'left', 'return', 'current', 'text', 'last', 'characters', 'left', 'text', 'consists', 'lowercase', 'english', 'calls', 'total', 'made', 'cursorleft', 'could', 'find', 'solution', 'time', 'complexity', 'per', 'linked list', 'string', 'stack', 'design', 'simulation', 'doubly-linked list']"
2295,"['array', 'nums', 'consists', 'distinct', 'positive', 'apply', 'operations', 'ith', 'operation', 'replace', 'number', 'guaranteed', 'ith', 'exists', 'exist', 'return', 'array', 'obtained', 'applying', 'nums', 'operations', 'perform', 'following', 'operations', 'replace', 'number', 'nums', 'becomes', 'replace', 'number', 'nums', 'becomes', 'replace', 'number', 'nums', 'becomes', 'return', 'final', 'array', 'nums', 'operations', 'perform', 'following', 'operations', 'replace', 'number', 'nums', 'becomes', 'replace', 'number', 'nums', 'becomes', 'replace', 'number', 'nums', 'becomes', 'return', 'array', 'values', 'nums', 'exist', 'nums', 'applying', 'ith', 'exist', 'nums', 'applying', 'ith', 'array', 'hash table', 'simulation']"
2294,"['integer', 'array', 'nums', 'integer', 'may', 'partition', 'nums', 'one', 'subsequences', 'element', 'nums', 'appears', 'exactly', 'one', 'return', 'minimum', 'number', 'subsequences', 'needed', 'difference', 'maximum', 'minimum', 'values', 'subsequence', 'subsequence', 'sequence', 'derived', 'another', 'sequence', 'deleting', 'elements', 'without', 'changing', 'order', 'remaining', 'nums', 'partition', 'nums', 'two', 'subsequences', 'difference', 'maximum', 'minimum', 'value', 'first', 'subsequence', 'difference', 'maximum', 'minimum', 'value', 'second', 'subsequence', 'since', 'two', 'subsequences', 'return', 'shown', 'minimum', 'number', 'subsequences', 'nums', 'partition', 'nums', 'two', 'subsequences', 'difference', 'maximum', 'minimum', 'value', 'first', 'subsequence', 'difference', 'maximum', 'minimum', 'value', 'second', 'subsequence', 'since', 'two', 'subsequences', 'return', 'note', 'another', 'optimal', 'solution', 'partition', 'nums', 'two', 'subsequences', 'nums', 'partition', 'nums', 'three', 'subsequences', 'difference', 'maximum', 'minimum', 'value', 'first', 'subsequences', 'difference', 'maximum', 'minimum', 'value', 'second', 'subsequences', 'difference', 'maximum', 'minimum', 'value', 'third', 'subsequences', 'since', 'three', 'subsequences', 'return', 'shown', 'minimum', 'number', 'subsequences', 'array', 'greedy', 'sorting']"
2293,"['integer', 'array', 'nums', 'whose', 'length', 'power', 'apply', 'following', 'algorithm', 'let', 'length', 'end', 'create', 'new', 'integer', 'array', 'newnums', 'length', 'every', 'even', 'index', 'assign', 'value', 'every', 'odd', 'index', 'assign', 'value', 'replace', 'array', 'nums', 'repeat', 'entire', 'process', 'starting', 'step', 'return', 'last', 'number', 'remains', 'nums', 'applying', 'nums', 'following', 'arrays', 'results', 'applying', 'algorithm', 'nums', 'nums', 'nums', 'last', 'remaining', 'return', 'nums', 'already', 'last', 'remaining', 'return', 'power', 'array', 'simulation']"
