id,difficulty
2291,2
2282,2
2277,3
2268,2
2254,3
2311,2
2302,3
2301,3
2300,2
2299,1
2306,3
2296,3
2295,2
2294,2
2293,1
2237,2
2236,1
2235,1
2286,3
2285,2
2284,2
2283,1
2290,3
2289,2
2288,2
2287,1
2219,2
2281,3
2280,2
2279,2
2278,1
2246,3
2245,2
2244,2
2243,1
2272,3
2271,2
2270,2
2276,3
2275,2
2274,2
2214,2
2242,3
2241,2
2240,2
2239,1
2267,3
2266,2
2265,2
2264,1
2224,1
2258,3
2257,2
2256,2
2255,1
2262,3
2261,2
2260,2
2259,1
2251,3
2250,2
2249,2
2248,1
2234,3
2233,2
2232,2
2231,1
2223,3
2222,2
2221,2
2220,1
2184,2
2203,3
2200,1
2213,3
2212,2
2211,2
2210,1
2174,2
2190,1
2209,3
2208,2
2207,2
2206,1
2197,3
2196,2
2195,2
2194,1
2168,2
2183,3
2182,2
2181,2
2180,1
2158,3
2188,3
2187,2
2186,2
2185,1
2172,3
2171,2
2170,2
2169,1
2152,2
2167,3
2166,2
2165,2
2164,1
2143,3
2179,3
2178,2
2177,2
2176,1
2157,3
2156,3
2154,1
2137,2
2151,3
2149,2
2150,2
2148,1
2128,2
2163,3
2162,2
2161,2
2160,1
2141,3
2140,2
2155,2
2138,1
2123,3
2113,2
2136,3
2135,2
2134,2
2133,1
2147,3
2146,2
2145,2
2144,1
2107,2
2127,3
2126,2
2125,2
2124,1
2098,2
2122,3
2121,2
2120,2
2119,1
2131,2
2130,2
2129,1
2111,3
2110,2
2109,2
2108,1
2093,2
2106,3
2105,2
2104,2
2103,1
2083,2
2117,3
2116,2
2115,2
2114,1
2077,2
2096,2
2095,2
2094,1
2092,3
2091,2
2090,2
2089,1
2067,2
2102,3
2101,2
2100,2
2099,1
2061,2
2081,3
2097,3
2132,3
2078,1
2076,3
2075,2
2074,2
2073,1
2088,3
2087,2
2086,2
2085,1
2065,3
2064,2
2063,2
2062,1
2060,3
2059,2
2058,2
2057,1
2071,3
2070,2
2069,2
2068,1
2050,3
2049,2
2048,2
2047,1
2045,3
2044,2
2043,2
2042,1
2056,3
2055,2
2054,2
2053,1
2035,3
2034,2
2033,2
2032,1
2030,3
2029,2
2028,2
2027,1
2005,3
2039,2
2040,3
2038,2
2037,1
2019,3
2018,2
2017,2
2016,1
2015,2
1999,2
2014,3
2013,2
2012,2
2011,1
2025,3
2024,2
2023,2
2022,1
2003,3
2002,2
2001,2
2000,1
1973,2
1998,3
1997,2
1996,2
1995,1
1971,1
2009,3
2008,2
2007,2
2006,1
1987,3
1986,2
1985,2
1984,1
1966,2
1982,3
1981,2
1980,2
1979,1
1994,3
1993,2
1992,2
1991,1
1970,3
1969,2
