id,name,name-slug
2291,Maximum Profit From Trading Stocks,maximum-profit-from-trading-stocks
2282,Number of People That Can Be Seen in a Grid,number-of-people-that-can-be-seen-in-a-grid
2277,Closest Node to Path in Tree,closest-node-to-path-in-tree
2268,Minimum Number of Keypresses,minimum-number-of-keypresses
2254,Design Video Sharing Platform,design-video-sharing-platform
2311,Longest Binary Subsequence Less Than or Equal to K,longest-binary-subsequence-less-than-or-equal-to-k
2302,Count Subarrays With Score Less Than K,count-subarrays-with-score-less-than-k
2301,Match Substring After Replacement,match-substring-after-replacement
2300,Successful Pairs of Spells and Potions,successful-pairs-of-spells-and-potions
2299,Strong Password Checker II,strong-password-checker-ii
2306,Naming a Company,naming-a-company
2296,Design a Text Editor,design-a-text-editor
2295,Replace Elements in an Array,replace-elements-in-an-array
2294,Partition Array Such That Maximum Difference Is K,partition-array-such-that-maximum-difference-is-k
2293,Min Max Game,min-max-game
2237,Count Positions on Street With Required Brightness,count-positions-on-street-with-required-brightness
2236,Root Equals Sum of Children,root-equals-sum-of-children
2235,Add Two Integers,add-two-integers
2286,Booking Concert Tickets in Groups,booking-concert-tickets-in-groups
2285,Maximum Total Importance of Roads,maximum-total-importance-of-roads
2284,Sender With Largest Word Count,sender-with-largest-word-count
2283,Check if Number Has Equal Digit Count and Digit Value,check-if-number-has-equal-digit-count-and-digit-value
2290,Minimum Obstacle Removal to Reach Corner,minimum-obstacle-removal-to-reach-corner
2289,Steps to Make Array Non-decreasing,steps-to-make-array-non-decreasing
2288,Apply Discount to Prices,apply-discount-to-prices
2287,Rearrange Characters to Make Target String,rearrange-characters-to-make-target-string
2219,Maximum Sum Score of Array,maximum-sum-score-of-array
2281,Sum of Total Strength of Wizards,sum-of-total-strength-of-wizards
2280,Minimum Lines to Represent a Line Chart,minimum-lines-to-represent-a-line-chart
2279,Maximum Bags With Full Capacity of Rocks,maximum-bags-with-full-capacity-of-rocks
2278,Percentage of Letter in String,percentage-of-letter-in-string
2246,Longest Path With Different Adjacent Characters,longest-path-with-different-adjacent-characters
2245,Maximum Trailing Zeros in a Cornered Path,maximum-trailing-zeros-in-a-cornered-path
2244,Minimum Rounds to Complete All Tasks,minimum-rounds-to-complete-all-tasks
2243,Calculate Digit Sum of a String,calculate-digit-sum-of-a-string
2272,Substring With Largest Variance,substring-with-largest-variance
2271,Maximum White Tiles Covered by a Carpet,maximum-white-tiles-covered-by-a-carpet
2270,Number of Ways to Split Array,number-of-ways-to-split-array
2276,Count Integers in Intervals,count-integers-in-intervals
2275,Largest Combination With Bitwise AND Greater Than Zero,largest-combination-with-bitwise-and-greater-than-zero
2274,Maximum Consecutive Floors Without Special Floors,maximum-consecutive-floors-without-special-floors
2214,Minimum Health to Beat Game,minimum-health-to-beat-game
2242,Maximum Score of a Node Sequence,maximum-score-of-a-node-sequence
2241,Design an ATM Machine,design-an-atm-machine
2240,Number of Ways to Buy Pens and Pencils,number-of-ways-to-buy-pens-and-pencils
2239,Find Closest Number to Zero,find-closest-number-to-zero
2267, Check if There Is a Valid Parentheses String Path,check-if-there-is-a-valid-parentheses-string-path
2266,Count Number of Texts,count-number-of-texts
2265,Count Nodes Equal to Average of Subtree,count-nodes-equal-to-average-of-subtree
2264,Largest 3-Same-Digit Number in String,largest-3-same-digit-number-in-string
2224,Minimum Number of Operations to Convert Time,minimum-number-of-operations-to-convert-time
2258,Escape the Spreading Fire,escape-the-spreading-fire
2257,Count Unguarded Cells in the Grid,count-unguarded-cells-in-the-grid
2256,Minimum Average Difference,minimum-average-difference
2255,Count Prefixes of a Given String,count-prefixes-of-a-given-string
2262,Total Appeal of A String,total-appeal-of-a-string
2261,K Divisible Elements Subarrays,k-divisible-elements-subarrays
2260,Minimum Consecutive Cards to Pick Up,minimum-consecutive-cards-to-pick-up
2259,Remove Digit From Number to Maximize Result,remove-digit-from-number-to-maximize-result
2251,Number of Flowers in Full Bloom,number-of-flowers-in-full-bloom
2250,Count Number of Rectangles Containing Each Point,count-number-of-rectangles-containing-each-point
2249,Count Lattice Points Inside a Circle,count-lattice-points-inside-a-circle
2248,Intersection of Multiple Arrays,intersection-of-multiple-arrays
2234,Maximum Total Beauty of the Gardens,maximum-total-beauty-of-the-gardens
2233,Maximum Product After K Increments,maximum-product-after-k-increments
2232,Minimize Result by Adding Parentheses to Expression,minimize-result-by-adding-parentheses-to-expression
2231,Largest Number After Digit Swaps by Parity,largest-number-after-digit-swaps-by-parity
2223,Sum of Scores of Built Strings,sum-of-scores-of-built-strings
2222,Number of Ways to Select Buildings,number-of-ways-to-select-buildings
2221,Find Triangular Sum of an Array,find-triangular-sum-of-an-array
2220,Minimum Bit Flips to Convert Number,minimum-bit-flips-to-convert-number
2184,Number of Ways to Build Sturdy Brick Wall,number-of-ways-to-build-sturdy-brick-wall
2203,Minimum Weighted Subgraph With the Required Paths,minimum-weighted-subgraph-with-the-required-paths
2200,Find All K-Distant Indices in an Array,find-all-k-distant-indices-in-an-array
2213,Longest Substring of One Repeating Character,longest-substring-of-one-repeating-character
2212,Maximum Points in an Archery Competition,maximum-points-in-an-archery-competition
2211,Count Collisions on a Road,count-collisions-on-a-road
2210,Count Hills and Valleys in an Array,count-hills-and-valleys-in-an-array
2174,Remove All Ones With Row and Column Flips II,remove-all-ones-with-row-and-column-flips-ii
2190,Most Frequent Number Following Key In an Array,most-frequent-number-following-key-in-an-array
2209,Minimum White Tiles After Covering With Carpets,minimum-white-tiles-after-covering-with-carpets
2208,Minimum Operations to Halve Array Sum,minimum-operations-to-halve-array-sum
2207,Maximize Number of Subsequences in a String,maximize-number-of-subsequences-in-a-string
2206,Divide Array Into Equal Pairs,divide-array-into-equal-pairs
2197,Replace Non-Coprime Numbers in Array,replace-non-coprime-numbers-in-array
2196,Create Binary Tree From Descriptions,create-binary-tree-from-descriptions
2195,Append K Integers With Minimal Sum,append-k-integers-with-minimal-sum
